Date,Open,High,Low,Close,Adj Close,Volume
2015-03-13,76.230003,76.269997,75.099998,75.690002,55.280319,1737400
2015-03-16,75.779999,76.760002,75.610001,76.300003,55.725830,2689300
2015-03-17,75.830002,76.309998,75.199997,76.160004,55.623585,2470400
2015-03-18,76.089996,76.320000,75.379997,75.949997,55.470203,2448400
2015-03-19,76.239998,76.290001,75.400002,75.639999,55.243790,2770500
2015-03-20,76.150002,76.559998,75.849998,76.389999,55.791561,7484100
2015-03-23,76.480003,77.099998,76.470001,76.709999,56.025280,2057300
2015-03-24,76.629997,77.379997,76.449997,77.019997,56.251690,1904400
2015-03-25,77.300003,77.650002,76.050003,76.050003,55.543243,2480600
2015-03-26,76.250000,76.639999,75.540001,75.790001,55.353359,2302300
2015-03-27,75.919998,76.120003,74.910004,75.089996,54.842102,2072600
2015-03-30,75.160004,76.040001,74.790001,75.110001,54.856701,2497900
2015-03-31,75.000000,76.540001,74.379997,76.239998,55.682011,3799500
2015-04-01,76.440002,76.639999,75.750000,76.250000,55.689308,2604400
2015-04-02,76.449997,77.199997,76.320000,76.800003,56.091003,1984100
2015-04-06,76.519997,77.669998,76.330002,77.070000,56.288181,1815100
2015-04-07,77.430000,78.160004,77.279999,77.809998,56.828663,2215700
2015-04-08,77.769997,78.570000,77.699997,78.400002,57.259567,2243700
2015-04-09,78.449997,79.360001,78.400002,79.080002,57.756218,2562400
2015-04-10,79.269997,79.669998,78.980003,79.599998,58.135994,2128400
2015-04-13,79.720001,80.190002,79.459999,80.190002,58.566898,2116500
2015-04-14,80.209999,80.599998,80.040001,80.320000,58.661854,3652900
2015-04-15,80.500000,81.410004,80.410004,81.250000,59.341080,4229400
2015-04-16,81.050003,81.529999,80.639999,81.239998,59.333763,3143500
2015-04-17,80.910004,80.930000,80.410004,80.760002,58.983208,2165000
2015-04-20,81.000000,81.440002,80.860001,81.269997,59.355690,2252900
2015-04-21,80.660004,80.769997,80.089996,80.300003,59.208218,2101800
2015-04-22,80.099998,80.209999,79.199997,79.989998,58.979652,2094800
2015-04-23,79.660004,80.650002,79.639999,80.449997,59.318810,1891000
2015-04-24,80.550003,80.800003,80.239998,80.580002,59.414654,1763500
2015-04-27,80.750000,80.910004,80.360001,80.680000,59.488380,1911100
2015-04-28,80.639999,80.919998,80.160004,80.900002,59.650608,1407700
2015-04-29,80.500000,80.970001,80.349998,80.900002,59.650608,1577300
2015-04-30,80.750000,80.800003,79.709999,80.110001,59.068096,2507600
2015-05-01,80.309998,80.699997,80.000000,80.239998,59.163960,1144300
2015-05-04,80.360001,80.639999,80.110001,80.440002,59.311440,1336900
2015-05-05,80.129997,80.360001,79.139999,79.620003,58.706829,1976100
2015-05-06,79.589996,79.629997,78.550003,79.089996,58.316025,1985900
2015-05-07,79.050003,79.089996,78.070000,78.830002,58.124317,2206500
2015-05-08,79.220001,79.529999,78.949997,79.180000,58.382385,1229500
2015-05-11,79.440002,79.650002,78.800003,79.169998,58.375000,1104500
2015-05-12,78.849998,79.160004,78.599998,78.720001,58.043217,1637000
2015-05-13,78.699997,78.989998,78.230003,78.440002,57.836773,1426400
2015-05-14,78.610001,78.989998,78.360001,78.879997,58.161182,1399500
2015-05-15,78.889999,79.000000,78.480003,78.779999,58.087444,1130800
2015-05-19,79.199997,80.349998,78.599998,80.089996,59.053349,2661300
2015-05-20,80.199997,80.360001,79.370003,79.599998,58.692078,1781400
2015-05-21,79.639999,80.599998,79.639999,80.370003,59.259823,1922800
2015-05-22,80.320000,80.489998,79.900002,80.400002,59.281944,1143400
2015-05-25,80.230003,80.480003,80.099998,80.309998,59.215576,470400
2015-05-26,80.300003,80.389999,78.959999,79.570000,58.669949,1921300
2015-05-27,79.809998,80.510002,79.410004,79.940002,58.942772,2086300
2015-05-28,80.419998,80.849998,79.080002,80.050003,59.023884,2607300
2015-05-29,79.970001,80.180000,78.779999,79.070000,58.301296,2628900
2015-06-01,79.250000,79.339996,78.309998,78.830002,58.124317,1341300
2015-06-02,78.750000,79.489998,78.510002,79.129997,58.345505,1162800
2015-06-03,79.290001,80.459999,79.120003,80.269997,59.186077,2275800
2015-06-04,79.830002,80.480003,79.400002,80.000000,58.987003,1935200
2015-06-05,79.779999,80.339996,79.370003,79.580002,58.677330,1616100
2015-06-08,79.430000,79.529999,78.269997,78.629997,57.976833,3216700
2015-06-09,78.750000,78.809998,77.599998,77.919998,57.453354,4682400
2015-06-10,78.349998,78.830002,77.970001,78.260002,57.704037,2477400
2015-06-11,78.550003,78.779999,77.650002,78.150002,57.622936,3711900
2015-06-12,77.989998,78.199997,77.419998,78.199997,57.659798,3708600
2015-06-15,77.750000,78.370003,77.459999,78.239998,57.689262,2803100
2015-06-16,78.199997,78.519997,77.809998,78.519997,57.895737,2486400
2015-06-17,78.540001,78.720001,77.680000,78.050003,57.549213,3199800
2015-06-18,78.000000,78.040001,77.410004,77.849998,57.401730,2842700
2015-06-19,76.440002,77.440002,76.269997,76.820000,56.642265,11766400
2015-06-22,76.949997,77.970001,76.889999,77.400002,57.069920,2995400
2015-06-23,77.739998,78.279999,77.570000,77.940002,57.468090,3889200
2015-06-24,77.900002,78.580002,77.620003,78.110001,57.593437,3137900
2015-06-25,78.309998,78.580002,77.949997,78.139999,57.615559,1952500
2015-06-26,78.250000,78.489998,78.019997,78.260002,57.704037,2499600
2015-06-29,77.339996,77.570000,76.300003,76.470001,56.384205,3156100
2015-06-30,76.720001,77.150002,76.330002,76.379997,56.317833,2650500
2015-07-02,76.440002,76.620003,75.769997,76.209999,56.192490,1504400
2015-07-03,76.260002,76.750000,76.150002,76.709999,56.561165,4432100
2015-07-06,75.879997,76.989998,75.800003,76.370003,56.310478,3834400
2015-07-07,76.489998,76.500000,75.360001,76.449997,56.369461,3295200
2015-07-08,75.980003,76.099998,75.449997,75.599998,55.742729,5049600
2015-07-09,76.120003,76.540001,75.349998,75.480003,55.654247,3552100
2015-07-10,76.110001,76.599998,76.110001,76.580002,56.465309,1585500
2015-07-13,77.480003,77.519997,76.870003,76.919998,56.716011,2152900
2015-07-14,76.959999,76.970001,76.120003,76.900002,56.701271,1752100
2015-07-15,77.080002,77.480003,76.669998,77.250000,56.959335,2671700
2015-07-16,77.599998,78.449997,77.489998,77.910004,57.445969,3033600
2015-07-17,78.099998,78.160004,77.050003,77.300003,56.996197,1819600
2015-07-20,77.470001,77.570000,76.589996,77.160004,56.892979,1800700
2015-07-21,77.139999,77.190002,76.320000,76.620003,56.494804,1539000
2015-07-22,76.610001,76.730003,75.800003,76.480003,56.391582,2151700
2015-07-23,75.660004,75.739998,74.910004,75.529999,56.257500,3048100
2015-07-24,75.360001,75.360001,74.300003,74.589996,55.557369,3024300
2015-07-27,74.070000,74.120003,73.190002,73.519997,54.760387,2554600
2015-07-28,73.709999,74.019997,72.980003,73.620003,54.834866,2275600
2015-07-29,73.900002,75.650002,73.699997,75.650002,56.346886,2935200
2015-07-30,75.699997,75.989998,74.919998,75.750000,56.421375,1893900
2015-07-31,75.900002,76.690002,75.709999,76.260002,56.801239,1986500
2015-08-04,76.080002,76.839996,75.750000,76.480003,56.965103,1757200
2015-08-05,76.750000,77.300003,76.510002,77.199997,57.501385,1976800
2015-08-06,77.279999,77.540001,76.629997,77.059998,57.397099,2782500
2015-08-07,77.120003,77.519997,76.029999,76.330002,56.853382,2928000
2015-08-10,76.589996,77.599998,76.500000,77.279999,57.560955,1935800
2015-08-11,76.959999,77.000000,75.959999,76.610001,57.061928,1905500
2015-08-12,76.099998,76.139999,74.919998,75.839996,56.488384,2468700
2015-08-13,75.940002,76.070000,75.150002,75.389999,56.153229,1457700
2015-08-14,75.410004,76.089996,75.370003,75.970001,56.585217,1124900
2015-08-17,75.500000,75.610001,74.690002,75.430000,56.183018,1834500
2015-08-18,75.250000,75.709999,74.750000,75.599998,56.309654,1502100
2015-08-19,75.279999,76.300003,74.879997,75.760002,56.428825,3107600
2015-08-20,75.139999,75.139999,74.040001,74.080002,55.177486,3028800
2015-08-21,73.389999,74.050003,72.699997,72.800003,54.224117,3288300
2015-08-24,68.169998,72.489998,68.050003,70.709999,52.667381,5592100
2015-08-25,72.919998,73.790001,72.150002,72.360001,53.896378,3818500
2015-08-26,73.800003,73.889999,70.639999,72.099998,53.702713,6388800
2015-08-27,73.059998,74.849998,72.360001,73.989998,55.110451,4394400
2015-08-28,73.870003,73.949997,72.820000,73.699997,54.894466,3181100
2015-08-31,73.639999,73.730003,71.959999,73.339996,54.626320,3225000
2015-09-01,71.970001,72.139999,70.900002,71.330002,53.129185,2869200
2015-09-02,71.699997,72.169998,71.269997,71.330002,53.129185,2045300
2015-09-03,71.639999,72.150002,71.330002,71.949997,53.591000,2184200
2015-09-04,71.190002,71.309998,70.500000,70.879997,52.794014,2250200
