Date,Open,High,Low,Close,Adj Close,Volume
2015-03-13,63.049999,63.169998,62.209999,62.849998,42.791050,1827100
2015-03-16,62.950001,64.220001,62.830002,63.750000,43.403797,2054400
2015-03-17,63.720001,63.740002,62.560001,63.330002,43.117844,1907600
2015-03-18,63.250000,63.470001,62.639999,63.080002,42.947624,2023300
2015-03-19,63.330002,63.459999,62.720001,63.060001,42.934017,2889300
2015-03-20,63.299999,63.750000,63.150002,63.459999,43.206356,6606300
2015-03-23,63.639999,64.190002,63.400002,63.750000,43.403797,1635200
2015-03-24,63.700001,64.099998,63.380001,63.889999,43.499111,1900400
2015-03-25,63.889999,64.269997,62.759998,62.799999,42.756992,2900300
2015-03-26,62.750000,63.090000,62.259998,62.689999,42.682098,2372300
2015-03-27,62.660000,63.029999,61.900002,62.320000,42.430191,2085900
2015-03-30,62.480000,63.130001,62.250000,62.709999,42.695724,2772600
2015-03-31,62.570000,63.740002,62.340000,63.540001,43.260830,3756100
2015-04-01,63.470001,63.720001,62.950001,63.459999,43.206356,1944800
2015-04-02,62.869999,63.380001,62.810001,63.090000,43.419704,1819000
2015-04-06,62.950001,63.619999,62.799999,63.139999,43.454117,1610600
2015-04-07,63.279999,63.959999,63.270000,63.779999,43.894577,1660500
2015-04-08,63.750000,63.980000,63.480000,63.689999,43.832634,1662200
2015-04-09,63.599998,64.379997,63.599998,64.220001,44.197395,1746800
2015-04-10,64.339996,64.500000,64.139999,64.410004,44.328163,2610400
2015-04-13,64.510002,64.680000,64.169998,64.440002,44.348808,1357300
2015-04-14,64.449997,64.849998,64.160004,64.660004,44.500210,1902000
2015-04-15,64.750000,65.680000,64.720001,65.430000,45.030144,2211300
2015-04-16,65.279999,65.800003,64.919998,65.730003,45.236595,2102700
2015-04-17,65.599998,66.070000,65.220001,65.879997,45.339825,1688500
2015-04-20,66.150002,66.489998,66.000000,66.260002,45.601372,1530300
2015-04-21,66.440002,66.690002,66.209999,66.599998,45.835350,2092400
2015-04-22,66.599998,66.599998,65.699997,66.559998,45.807819,1163600
2015-04-23,66.019997,67.000000,66.019997,66.839996,46.000526,1456300
2015-04-24,66.820000,67.160004,66.639999,66.910004,46.048702,1060300
2015-04-27,66.970001,67.089996,66.510002,66.930000,46.062473,1625300
2015-04-28,66.809998,67.400002,66.639999,67.339996,46.344639,1463400
2015-04-29,66.930000,67.440002,66.870003,67.279999,46.303333,1387000
2015-04-30,67.000000,67.239998,66.279999,66.529999,45.787170,2284500
2015-05-01,66.519997,67.080002,66.300003,66.820000,45.986759,1346800
2015-05-04,66.849998,67.290001,66.779999,67.129997,46.200115,1024000
2015-05-05,67.000000,67.099998,66.160004,66.480003,45.752766,1453900
2015-05-06,66.290001,66.529999,65.400002,65.900002,45.353592,1665400
2015-05-07,65.930000,65.930000,65.029999,65.389999,45.002609,2215500
2015-05-08,65.739998,65.879997,65.290001,65.410004,45.016380,1578400
2015-05-11,65.500000,65.820000,65.199997,65.599998,45.147133,1198900
2015-05-12,65.349998,65.570000,65.029999,65.190002,44.864964,1539600
2015-05-13,65.199997,65.459999,64.690002,65.089996,44.796139,1236800
2015-05-14,65.320000,65.320000,64.769997,65.169998,44.851196,956200
2015-05-15,65.139999,65.220001,64.739998,65.000000,44.734203,927500
2015-05-19,64.930000,65.459999,64.410004,65.269997,44.920021,1327300
2015-05-20,65.019997,65.260002,64.239998,64.440002,44.348808,2092500
2015-05-21,64.269997,65.220001,64.269997,64.980003,44.720440,1729100
2015-05-22,64.910004,64.959999,64.500000,64.610001,44.465797,1356700
2015-05-25,64.550003,64.760002,64.500000,64.639999,44.486443,362600
2015-05-26,64.699997,64.750000,63.599998,64.209999,44.190514,1557100
2015-05-27,64.300003,64.930000,64.120003,64.449997,44.355682,1375400
2015-05-28,64.500000,64.949997,63.880001,64.570000,44.438274,1504400
2015-05-29,65.000000,65.669998,64.650002,65.400002,45.009487,4076200
2015-06-01,65.870003,66.650002,65.389999,65.879997,45.339825,3447900
2015-06-02,65.889999,66.489998,65.459999,66.169998,45.539421,1701900
2015-06-03,66.230003,66.879997,66.080002,66.730003,45.924816,2048600
