Date,Open,High,Low,Close,Adj Close,Volume
2015-03-12,62.820000,63.639999,62.810001,63.240002,43.056572,1661600
2015-03-13,63.049999,63.169998,62.209999,62.849998,42.791027,1827100
2015-03-16,62.950001,64.220001,62.830002,63.750000,43.403797,2054400
2015-03-17,63.720001,63.740002,62.560001,63.330002,43.117863,1907600
2015-03-18,63.250000,63.470001,62.639999,63.080002,42.947636,2023300
2015-03-19,63.330002,63.459999,62.720001,63.060001,42.934013,2889300
2015-03-20,63.299999,63.750000,63.150002,63.459999,43.206364,6606300
2015-03-23,63.639999,64.190002,63.400002,63.750000,43.403797,1635200
2015-03-24,63.700001,64.099998,63.380001,63.889999,43.499123,1900400
2015-03-25,63.889999,64.269997,62.759998,62.799999,42.757000,2900300
2015-03-26,62.750000,63.090000,62.259998,62.689999,42.682106,2372300
2015-03-27,62.660000,63.029999,61.900002,62.320000,42.430195,2085900
2015-03-30,62.480000,63.130001,62.250000,62.709999,42.695736,2772600
2015-03-31,62.570000,63.740002,62.340000,63.540001,43.260826,3756100
2015-04-01,63.470001,63.720001,62.950001,63.459999,43.206364,1944800
2015-04-02,62.869999,63.380001,62.810001,63.090000,43.419708,1819000
2015-04-06,62.950001,63.619999,62.799999,63.139999,43.454121,1610600
2015-04-07,63.279999,63.959999,63.270000,63.779999,43.894566,1660500
2015-04-08,63.750000,63.980000,63.480000,63.689999,43.832638,1662200
2015-04-09,63.599998,64.379997,63.599998,64.220001,44.197403,1746800
2015-04-10,64.339996,64.500000,64.139999,64.410004,44.328159,2610400
2015-04-13,64.510002,64.680000,64.169998,64.440002,44.348801,1357300
2015-04-14,64.449997,64.849998,64.160004,64.660004,44.500206,1902000
2015-04-15,64.750000,65.680000,64.720001,65.430000,45.030136,2211300
2015-04-16,65.279999,65.800003,64.919998,65.730003,45.236610,2102700
2015-04-17,65.599998,66.070000,65.220001,65.879997,45.339832,1688500
2015-04-20,66.150002,66.489998,66.000000,66.260002,45.601360,1530300
2015-04-21,66.440002,66.690002,66.209999,66.599998,45.835354,2092400
2015-04-22,66.599998,66.599998,65.699997,66.559998,45.807812,1163600
2015-04-23,66.019997,67.000000,66.019997,66.839996,46.000526,1456300
2015-04-24,66.820000,67.160004,66.639999,66.910004,46.048706,1060300
2015-04-27,66.970001,67.089996,66.510002,66.930000,46.062454,1625300
2015-04-28,66.809998,67.400002,66.639999,67.339996,46.344631,1463400
2015-04-29,66.930000,67.440002,66.870003,67.279999,46.303333,1387000
2015-04-30,67.000000,67.239998,66.279999,66.529999,45.787170,2284500
2015-05-01,66.519997,67.080002,66.300003,66.820000,45.986763,1346800
2015-05-04,66.849998,67.290001,66.779999,67.129997,46.200104,1024000
2015-05-05,67.000000,67.099998,66.160004,66.480003,45.752769,1453900
2015-05-06,66.290001,66.529999,65.400002,65.900002,45.353592,1665400
2015-05-07,65.930000,65.930000,65.029999,65.389999,45.002602,2215500
2015-05-08,65.739998,65.879997,65.290001,65.410004,45.016376,1578400
2015-05-11,65.500000,65.820000,65.199997,65.599998,45.147141,1198900
2015-05-12,65.349998,65.570000,65.029999,65.190002,44.864971,1539600
2015-05-13,65.199997,65.459999,64.690002,65.089996,44.796139,1236800
2015-05-14,65.320000,65.320000,64.769997,65.169998,44.851204,956200
2015-05-15,65.139999,65.220001,64.739998,65.000000,44.734207,927500
2015-05-19,64.930000,65.459999,64.410004,65.269997,44.920017,1327300
2015-05-20,65.019997,65.260002,64.239998,64.440002,44.348801,2092500
2015-05-21,64.269997,65.220001,64.269997,64.980003,44.720440,1729100
2015-05-22,64.910004,64.959999,64.500000,64.610001,44.465790,1356700
2015-05-25,64.550003,64.760002,64.500000,64.639999,44.486450,362600
2015-05-26,64.699997,64.750000,63.599998,64.209999,44.190514,1557100
2015-05-27,64.300003,64.930000,64.120003,64.449997,44.355682,1375400
2015-05-28,64.500000,64.949997,63.880001,64.570000,44.438263,1504400
2015-05-29,65.000000,65.669998,64.650002,65.400002,45.009495,4076200
2015-06-01,65.870003,66.650002,65.389999,65.879997,45.339832,3447900
2015-06-02,65.889999,66.489998,65.459999,66.169998,45.539413,1701900
2015-06-03,66.230003,66.879997,66.080002,66.730003,45.924820,2048600
2015-06-04,66.449997,66.879997,65.760002,66.330002,45.649536,2216900
2015-06-05,66.290001,66.830002,66.150002,66.279999,45.615112,1642800
2015-06-08,66.199997,66.209999,64.910004,65.250000,44.906258,2251600
2015-06-09,65.029999,66.279999,64.699997,66.080002,45.477482,2367400
2015-06-10,66.099998,66.660004,66.029999,66.290001,45.622002,3053400
2015-06-11,66.529999,66.589996,65.660004,66.120003,45.505016,1395900
2015-06-12,65.959999,66.000000,65.099998,65.830002,45.305431,2378900
2015-06-15,65.500000,66.190002,65.309998,66.000000,45.422424,1822000
2015-06-16,66.000000,66.110001,65.599998,65.830002,45.305431,1349400
2015-06-17,65.839996,66.010002,64.800003,65.279999,44.926907,2166000
2015-06-18,65.180000,65.250000,64.639999,65.139999,44.830555,1652800
2015-06-19,63.709999,64.879997,63.709999,64.360001,44.293743,10338200
2015-06-22,64.400002,65.470001,64.379997,65.150002,44.837437,3705200
2015-06-23,65.430000,66.000000,65.379997,65.900002,45.353592,2338900
2015-06-24,66.000000,66.389999,65.709999,66.349998,45.663296,5500200
2015-06-25,66.500000,66.860001,66.209999,66.529999,45.787170,2687400
2015-06-26,66.480003,66.989998,66.389999,66.639999,45.862881,2429000
2015-06-29,66.000000,66.040001,64.250000,64.650002,44.493328,3350000
2015-06-30,64.930000,65.279999,64.389999,64.470001,44.369450,2521400
2015-07-02,64.410004,64.800003,63.840000,64.070000,44.094154,2010200
2015-07-03,63.570000,64.239998,63.430000,64.209999,44.664555,939900
2015-07-06,63.509998,64.449997,63.310001,63.930000,44.469788,3747400
